[2026-07-20T13:00:37.899Z] GET https://kiro.dev/_next/static/chunks/46117-59bcaa46622806e1.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.899Z] GET https://kiro.dev/_next/static/chunks/9429-8a1cfd25282ac6f0.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.899Z] GET https://kiro.dev/_next/static/chunks/32723-b175e21067724750.js → 200 (1ms, -2036B)
[2026-07-20T13:00:37.900Z] GET https://kiro.dev/_next/static/chunks/91846-19aff7661decf0f7.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.900Z] GET https://kiro.dev/_next/static/chunks/app/layout-33811be607e84bcf.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.900Z] GET https://kiro.dev/_next/static/chunks/app/error-03be5b7cb25ea87b.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.900Z] GET https://kiro.dev/_next/static/chunks/app/not-found-68e5367c94e8b460.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.900Z] GET https://kiro.dev/_next/static/chunks/54542-93fad8b716d1b496.js → 200 (1ms, -2036B)
[2026-07-20T13:00:37.901Z] GET https://kiro.dev/_next/static/chunks/26582-cf2ae8d750ee1de6.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.901Z] GET https://kiro.dev/_next/static/chunks/app/docs/%5B%5B...slug%5D%5D/page-09ae8020ab2ba969.js → 200 (?ms, -2036B)
[2026-07-20T13:00:37.901Z] GET https://prod.assets.shortbread.aws.dev/shortbread.js → 304 (1ms, 346B)
[2026-07-20T13:00:37.902Z] GET https://a0.awsstatic.com/s_code/js/3.0/awshome_s_code.js → 200 (?ms, -638B)
[2026-07-20T13:00:37.902Z] GET https://prod.assets.shortbread.aws.dev/shortbread.css → 304 (?ms, 348B)
[2026-07-20T13:00:37.918Z] GET https://kiro.dev/styles/fonts/AWSDiatype-Regular.woff2 → 200 (?ms, -2048B)
[2026-07-20T13:00:37.918Z] GET https://kiro.dev/styles/fonts/AWSDiatypeRoundedSemi-Mono-Regular.woff2 → 200 (?ms, -2048B)
